checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,books_borrowed,genre,pages,publication_year,publisher
9263.0,1047,517,2024-10-21,2024-11-07,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,16,Mystery,338,2015.0,Delta House
9340.0,1072,513,2025-08-24,2025-09-01,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14,Science,294,2021.0,Oasis Books
9231.0,1053,523,2024-02-04,2024-02-16,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5,Historical,276,2018.0,Oasis Books
9129.0,1032,513,2025-06-21,2025-06-29,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6,Science,294,2021.0,Oasis Books
9370.0,1079,511,2025-11-11,2025-12-03,Rana,Osman,8.0,Shubra,Active,2024-10-27,10,Historical,117,2016.0,Nile Press
9082.0,1010,528,2025-11-11,2025-11-18,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18,Nature,114,2010.0,Delta House
9238.0,1057,513,2024-03-28,2024-04-08,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,10,Science,294,2021.0,Oasis Books
9012.0,1010,501,2025-02-17,,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18,Adventure,128,2017.0,Nile Press
9127.0,1024,506,2025-06-13,,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17,Friendship,183,,Nile Press
9020.0,1016,506,2024-04-15,2024-05-04,Dina,Rashad,8.0,Maadi,Active,2023-04-24,7,Friendship,183,,Nile Press
9208.0,1044,525,2024-07-10,2024-08-01,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21,Adventure,297,2015.0,Oasis Books
9319.0,1065,515,2025-02-10,2025-02-21,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17,Poetry,316,2022.0,Cairo Young Readers
9097.0,1018,501,2025-10-05,2025-10-14,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17,Adventure,128,2017.0,Nile Press
9137.0,1041,519,2025-07-27,2025-08-05,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,2,Friendship,157,2014.0,Nile Press
9157.0,1032,525,2024-03-04,2024-04-03,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6,Adventure,297,2015.0,Oasis Books
9383.0,1070,501,2024-07-11,2024-07-31,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,3,Adventure,128,2017.0,Nile Press
9131.0,1034,505,2025-12-16,2025-12-25,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25,Historical,216,2024.0,Oasis Books
