,checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,books_borrowed,genre,pages,publication_year,publisher
0,9263,1047,517,2024-10-21,2024-11-07,Sara,Rashad,9,Heliopolis,Inactive,2024-06-25,16,Mystery,338,2015,Delta House
1,9340,1072,513,2025-08-24,2025-09-01,Seif,Zaki,9,Zamalek,Active,2025-10-21,14,Science,294,2021,Oasis Books
2,9231,1053,523,2024-02-04,2024-02-16,Adam,Shafik,9,Heliopolis,Active,2024-01-03,5,Historical,276,2018,Oasis Books
3,9129,1032,513,2025-06-21,2025-06-29,Nada,Zaki,7,Nasr City,Active,2025-10-19,6,Science,294,2021,Oasis Books
4,9370,1079,511,2025-11-11,2025-12-03,Rana,Osman,8,Shubra,Active,2024-10-27,10,Historical,117,2016,Nile Press
5,9082,1010,528,2025-11-11,2025-11-18,Nour,Nabil,6,Maadi,Active,2024-05-15,18,Nature,114,2010,Delta House
6,9238,1057,513,2024-03-28,2024-04-08,Ahmed,Fahmy,8,Heliopolis,Active,2024-01-12,10,Science,294,2021,Oasis Books
7,9012,1010,501,2025-02-17,,Nour,Nabil,6,Maadi,Active,2024-05-15,18,Adventure,128,2017,Nile Press
10,9208,1044,525,2024-07-10,2024-08-01,Sherif,Saleh,7,Heliopolis,Active,2024-02-19,21,Adventure,297,2015,Oasis Books
11,9319,1065,515,2025-02-10,2025-02-21,Adam,Fahmy,6,Zamalek,Active,2025-07-12,17,Poetry,316,2022,Cairo Young Readers
12,9097,1018,501,2025-10-05,2025-10-14,Ahmed,Shafik,9,Maadi,Active,2023-01-28,17,Adventure,128,2017,Nile Press
13,9137,1041,519,2025-07-27,2025-08-05,Nada,Rashad,7,Nasr City,Active,2024-04-02,2,Friendship,157,2014,Nile Press
14,9157,1032,525,2024-03-04,2024-04-03,Nada,Zaki,7,Nasr City,Active,2025-10-19,6,Adventure,297,2015,Oasis Books
15,9383,1070,501,2024-07-11,2024-07-31,Ahmed,Zaki,9,Zamalek,Active,2025-07-22,3,Adventure,128,2017,Nile Press
16,9131,1034,505,2025-12-16,2025-12-25,Aya,Wahba,9,Nasr City,Active,2025-01-22,25,Historical,216,2024,Oasis Books
17,9113,1027,507,2024-06-26,2024-07-08,Mostafa,Fouad,9,Nasr City,Active,2023-09-25,18,Science,160,2024,Nile Press
18,9144,1024,501,2025-11-07,2025-11-25,Youssef,Hegazy,8,Nasr City,Inactive,2024-01-04,17,Adventure,128,2017,Nile Press
19,9005,1008,513,2025-04-20,2025-04-29,Ziad,Saleh,8,Maadi,Active,2025-10-28,19,Science,294,2021,Oasis Books
20,9272,1044,518,2025-01-24,2025-02-04,Sherif,Saleh,7,Heliopolis,Active,2024-02-19,21,Adventure,163,2011,Delta House
21,9283,1072,513,2025-09-17,2025-09-25,Seif,Zaki,9,Zamalek,Active,2025-10-21,14,Science,294,2021,Oasis Books
22,9030,1018,507,2025-03-09,,Ahmed,Shafik,9,Maadi,Active,2023-01-28,17,Science,160,2024,Nile Press
23,9291,1065,526,2024-03-25,2024-03-31,Adam,Fahmy,6,Zamalek,Active,2025-07-12,17,Science Fiction,125,2016,Delta House
24,9369,1076,501,2025-06-05,,Dina,Wahba,7,Shubra,Active,2025-12-13,7,Adventure,128,2017,Nile Press
25,9225,1059,516,2025-08-06,2025-08-22,Lina,Halim,7,Heliopolis,Active,2024-01-06,7,Nature,241,2010,Nile Press
26,9256,1059,521,2025-07-09,,Lina,Halim,7,Heliopolis,Active,2024-01-06,7,Science,211,2024,Cairo Young Readers
27,9234,1053,525,2024-02-13,2024-03-06,Adam,Shafik,9,Heliopolis,Active,2024-01-03,5,Adventure,297,2015,Oasis Books
28,9152,1030,525,2025-01-03,,Reem,Osman,9,Nasr City,Active,2025-04-01,16,Adventure,297,2015,Oasis Books
29,9063,1018,515,2024-10-22,,Ahmed,Shafik,9,Maadi,Active,2023-01-28,17,Poetry,316,2022,Cairo Young Readers
30,9161,1040,519,2025-10-11,2025-11-01,Dina,Adel,9,Nasr City,Active,2025-12-26,2,Friendship,157,2014,Nile Press
