checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,books_borrowed,genre,pages,publication_year,publisher
9263,1047,517,2024-10-21,2024-11-07,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,16,Mystery,338,2015.0,Delta House
9340,1072,513,2025-08-24,2025-09-01,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14,Science,294,2021.0,Oasis Books
9231,1053,523,2024-02-04,2024-02-16,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5,Historical,276,2018.0,Oasis Books
9129,1032,513,2025-06-21,2025-06-29,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6,Science,294,2021.0,Oasis Books
9370,1079,511,2025-11-11,2025-12-03,Rana,Osman,8.0,Shubra,Active,2024-10-27,10,Historical,117,2016.0,Nile Press
9082,1010,528,2025-11-11,2025-11-18,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18,Nature,114,2010.0,Delta House
9238,1057,513,2024-03-28,2024-04-08,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,10,Science,294,2021.0,Oasis Books
9012,1010,501,2025-02-17,,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,18,Adventure,128,2017.0,Nile Press
9127,1024,506,2025-06-13,,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17,Friendship,183,,Nile Press
9020,1016,506,2024-04-15,2024-05-04,Dina,Rashad,8.0,Maadi,Active,2023-04-24,7,Friendship,183,,Nile Press
9208,1044,525,2024-07-10,2024-08-01,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21,Adventure,297,2015.0,Oasis Books
9319,1065,515,2025-02-10,2025-02-21,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17,Poetry,316,2022.0,Cairo Young Readers
9097,1018,501,2025-10-05,2025-10-14,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17,Adventure,128,2017.0,Nile Press
9137,1041,519,2025-07-27,2025-08-05,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,2,Friendship,157,2014.0,Nile Press
9157,1032,525,2024-03-04,2024-04-03,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6,Adventure,297,2015.0,Oasis Books
9383,1070,501,2024-07-11,2024-07-31,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,3,Adventure,128,2017.0,Nile Press
9131,1034,505,2025-12-16,2025-12-25,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,25,Historical,216,2024.0,Oasis Books
9113,1027,507,2024-06-26,2024-07-08,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18,Science,160,2024.0,Nile Press
9144,1024,501,2025-11-07,2025-11-25,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,17,Adventure,128,2017.0,Nile Press
9005,1008,513,2025-04-20,2025-04-29,Ziad,Saleh,8.0,Maadi,active,2025-10-28,19,Science,294,2021.0,Oasis Books
9272,1044,518,2025-01-24,2025-02-04,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,21,Adventure,163,2011.0,Delta House
9283,1072,513,2025-09-17,2025-09-25,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,14,Science,294,2021.0,Oasis Books
9030,1018,507,2025-03-09,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17,Science,160,2024.0,Nile Press
9291,1065,526,2024-03-25,2024-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17,Science Fiction,125,2016.0,Delta House
9369,1076,501,2025-06-05,,Dina,Wahba,7.0,Shubra,Active,2025-12-13,7,Adventure,128,2017.0,Nile Press
9225,1059,516,2025-08-06,2025-08-22,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7,Nature,241,2010.0,Nile Press
9256,1059,521,2025-07-09,,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,7,Science,211,2024.0,Cairo Young Readers
9234,1053,525,2024-02-13,2024-03-06,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,5,Adventure,297,2015.0,Oasis Books
9152,1030,525,2025-01-03,,Reem,Osman,,Nasr City,Active,2025-04-01,16,Adventure,297,2015.0,Oasis Books
9063,1018,515,2024-10-22,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,17,Poetry,316,2022.0,Cairo Young Readers
9161,1040,519,2025-10-11,2025-11-01,Dina,Adel,9.0,Nasr City,Active,2025-12-26,2,Friendship,157,2014.0,Nile Press
9206,1050,519,2024-03-17,,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,11,Friendship,157,2014.0,Nile Press
9031,1020,530,2025-12-28,2026-01-05,Rana,Fouad,6.0,Maadi,Active,2025-12-04,7,Adventure,208,2012.0,Oasis Books
9189,1032,507,2025-12-08,2025-12-16,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,6,Science,160,2024.0,Nile Press
9288,1065,519,2025-03-20,2025-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,17,Friendship,157,2014.0,Nile Press
9236,1052,507,2024-09-02,2024-09-29,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07,1,Science,160,2024.0,Nile Press
9360,1077,520,2024-03-04,2024-03-16,Lina,Rashad,6.0,Shubra,Active,2023-07-08,6,Science Fiction,136,2009.0,Oasis Books
9111,1027,510,2024-09-12,2024-10-03,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,18,Mystery,134,2013.0,Cairo Young Readers
